16,23
13,71
2,87
10,91
4,62
7,25
17,8
13,3
18,92
19,39
20,38
9,42
16,82
18,63
20,55
6,44
4,72
1,70
7,23
1,14
18,88
7,93
19,84
15,30
16,92
7,99
15,62
20,52
3,97
1,15
6,9
17,30
8,90
7,46
19,82
6,30
1,26
12,35
16,89
19,8
4,30
13,11
16,38
10,17
10,38
11,5
11,48
4,92
12,10
8,18
11,9
12,13
20,37
18,48
18,80
14,94
15,83
18,22
20,92
1,52
4,69
15,83
16,66
7,95
7,87
9,27
10,24
3,44
16,32
6,23
12,37
11,74
17,91
8,73
9,91
4,14
10,2
14,13
17,77
18,69
12,61
5,8
15,9
1,53
12,20
11,26
10,37
12,69
18,32
16,39
14,91
17,94
17,9
12,39
4,8
3,89
13,42
9,25
5,25
10,75
7,100
19,57
20,77
11,87
3,39
2,69
8,38
15,53
1,3
8,51
11,60
10,4
11,83
5,18
19,11
4,79
5,41
6,37
10,88
8,52
16,19
12,63
7,77
6,57
16,31
9,4
14,88
17,80
14,62
20,22
14,15
2,27
18,95
12,72
17,93
8,75
1,31
18,37
15,18
1,67
2,21
17,42
13,54
19,6
14,49
3,1
13,6
7,93
11,4
11,52
11,63
9,100
1,50
9,34
1,6
3,8
5,56
8,76
20,92
2,4
7,99
6,41
6,20
5,15
4,42
10,17
20,11
18,91
1,94
7,27
7,54
4,8
1,1
1,67
4,48
14,98
2,15
6,70
1,83
15,12
8,44
14,64
11,87
8,6
9,42
20,56
13,71
9,14
10,45
12,53
13,37
6,5
13,42
16,35
20,69
1,28
7,74
20,24
13,9
6,2
10,13
8,60
2,62
10,70
2,10
14,97
20,72
4,67
17,30
11,1
6,41
3,48
1,80
10,72
17,98
12,20
1,31
18,56
9,19
15,85
15,66
6,68
13,3
9,7
12,31
4,10
9,18
3,32
10,93
13,10
16,46
17,18
15,58
1,96
9,85
14,45
8,11
13,44
14,39
2,43
12,60
1,64
5,33
8,23
13,100
16,89
20,90
12,77
19,8
5,77
10,6
11,35
3,73
3,57
15,77
6,4
10,96
5,67
15,9
14,84
2,71
15,96
20,20
4,42
20,29
15,36
3,57
8,93
3,58
3,42
2,7
8,12
5,41
12,85
1,33
10,95
19,62
15,80
14,87
1,61
18,75
11,88
16,64
15,74
20,26
20,49
18,34
11,75
16,23
7,72
11,46
6,84
4,62
15,53
9,51
17,39
20,28
12,51
8,85
14,50
1,22
14,46
18,67
20,35
16,57
3,18
11,27
2,20
10,27
18,17
12,31
11,93
7,28
10,20
6,1
10,19
11,23
9,84
19,33
16,30
3,44
3,50
3,100
11,39
2,49
11,75
4,87
12,36
10,50
8,26
1,60
7,51
17,44
19,63
3,55
5,11
15,40
10,61
9,28
14,32
10,16
19,67
4,9
5,41
16,72
13,33
7,26
5,37
11,62
3,51
10,50
18,75
18,51
9,1
1,37
12,63
2,9
2,80
10,38
13,48
7,11
5,38
3,92
13,84
13,3
18,5
15,96
6,51
8,2
8,80
19,20
11,53
14,87
3,98
20,92
19,52
4,46
12,98
9,92
4,5
9,31
4,53
7,21
14,5
11,36
4,47
15,75
2,94
16,8
10,23
20,29
17,23
6,93
18,58
15,73
6,63
13,20
9,67
8,59
14,89
13,83
14,70
15,23
14,26
17,42
17,20
13,7
9,19
17,87
4,15
20,73
16,2
12,17
11,2
9,23
15,21
12,58
1,100
9,59
6,44
8,18
20,52
3,87
15,20
19,9
1,73
20,58
13,35
16,83
3,30
11,52
15,6
19,31
18,34
17,84
6,71
1,60
8,35
20,32
1,63
5,13
6,45
13,59
10,23
20,41
18,32
7,74
8,75
14,29
17,57
12,68
11,62
5,62
8,74
1,47
16,100
13,7
8,37
7,77
2,3
8,91
18,89
15,35
9,86
8,3
17,90
4,95
19,70
6,49
14,30
12,15
6,46
13,31
4,80
11,81
19,16
18,27
18,37
7,56
7,31
19,32
9,14
6,42
15,39
16,79
16,57
10,80
17,60
5,87
20,48
3,73
18,77
5,33
13,8
5,52
19,100
9,94
19,2
1,33
12,73
20,29
4,82
2,17
4,8
7,71
5,22
4,56
7,48
19,79
8,42
5,72
2,63
9,63
3,17
17,37
8,20
12,20
10,46
1,55
10,71
10,49
3,43
8,57
20,54
9,86
6,94
16,4
11,5
7,88
1,36
1,29
12,34
14,34
17,93
7,85
6,23
10,44
10,3
2,62
18,95
9,1
1,91
10,13
17,71
4,89
14,25
17,4
14,54
19,64
19,15
19,20
9,58
20,63
1,31
16,99
7,15
4,39
19,5
14,29
9,77
7,36
5,44
4,55
17,64
15,50
3,50
10,44
9,91
3,28
19,18
4,36
14,54
20,31
3,63
3,69
13,22
3,45
3,7
10,94
17,62
2,61
12,37
4,8
6,100
7,63
5,35
1,31
3,59
3,43
10,77
3,20
20,67
15,59
10,67
5,46
6,18
5,61
1,12
5,18
9,47
13,72
17,89
3,93
16,84
6,1
17,13
9,46
12,18
10,45
13,59
20,84
17,36
11,4
20,79
8,70
7,45
13,74
19,73
9,92
20,45
13,84
1,74
17,62
9,75
6,74
14,67
3,38
18,3
15,36
10,12
11,74
4,94
19,35
20,54
1,81
13,67
20,26
5,35
10,23
16,87
8,23
11,50
5,35
7,54
15,16
3,29
4,30
17,67
19,53
14,55
10,78
6,77
15,84
5,72
15,94
4,64
4,49
17,86
5,33
10,8
12,36
11,2
13,91
16,69
10,42
19,77
3,45
9,1
6,15
7,58
2,24
16,4
13,97
20,88
16,68
12,30
17,73
10,39
11,72
7,38
9,64
10,9
4,34
17,1
11,23
3,56
4,2
7,79
15,76
12,24
20,97
1,63
10,35
11,2
20,56
7,26
7,67
17,86
7,32
5,14
6,9
10,59
4,22
20,29
20,62
2,17
5,67
3,83
2,42
6,96
16,41
8,21
6,69
14,30
3,64
1,35
3,93
2,51
4,26
9,13
15,79
2,47
14,68
4,24
5,89
16,92
14,82
14,47
5,44
14,39
9,9
17,100
19,41
15,2
1,61
17,77
3,2
7,33
12,13
6,31
14,56
8,25
6,80
10,2
4,56
12,59
2,62
18,16
6,65
20,78
20,4
5,76
18,37
15,18
13,5
2,79
11,4
7,19
3,56
7,80
6,99
20,7
13,13
1,85
20,24
4,5
1,11
13,8
14,29
6,31
18,33
20,15
1,2
17,2
20,85
5,30
1,79
5,78
18,76
12,80
15,95
13,28
19,31
10,8
10,39
13,54
10,50
6,79
11,51
17,31
2,4
16,97
12,8
15,91
16,25
10,16
4,61
9,33
15,41
3,49
13,52
5,69
9,82
20,39
1,39
12,10
14,87
15,98
16,34
2,36
6,92
2,66
13,46
14,67
10,51
12,5
9,60
3,6
18,21
3,2
2,90
2,34
8,89
4,83
10,84
2,54
6,64
6,77
5,85
12,11
19,23
18,28
16,64
14,67
14,45
6,46
15,44
6,5
3,60
9,35
13,51
10,5
10,43
5,35
3,35
9,62
13,68
3,75
8,63
8,66
4,27
5,28
10,30
4,84
16,29
2,47
13,82
20,89
12,12
4,23
2,18
2,64
2,54
8,51
17,57
4,24
4,68
16,9
1,77
8,15
13,52
14,37
7,19
18,46
9,49
14,30
10,12
20,41
6,86
8,15
7,31
9,99
16,14
3,54
14,8
16,87
5,41
8,53
12,35
14,4
19,62
19,52
9,62
9,87
2,9
18,87
3,63
12,61
16,9
1,54
2,77
17,63
13,44
6,7
19,28
14,16
15,70
16,47
20,54
19,62
6,70
16,21
2,11
12,99
3,25
10,21
7,93
15,43
20,15
16,90
11,10
9,36
4,92
12,85
13,2
10,31
6,15
4,87
8,18
10,88
20,22
10,5
9,78
6,10
18,31
14,34
14,46
1,90
17,97
16,40
13,94
19,22
9,37
3,12
11,100
14,70
17,97
5,78
6,19
12,96
14,2
5,49
11,96
12,85
19,58
15,89
14,54
8,21
9,57
14,30
17,54
12,4
2,55
20,53
16,52
11,33
15,27
16,93
1,8
4,12
19,61
5,46
15,67
14,85
16,68
15,91
13,43
1,33
18,73
2,60
10,39
1,26
13,39
15,39
9,9
2,83
1,23
7,9
13,17
16,97
9,99
14,85
11,9
14,10
10,84
4,55
15,79
2,16
9,1
16,62
